id,title,description,availability,condition,price,link,image_link,brand,gtin,product_type,quantity_to_sell_on_facebook
"40796","Ibanez IGB681-GY Powerpad Gig Bag for Electric Guitar Gray","Ibanez IGB681-GY Powerpad Gig Bag for Electric Guitar Gray by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","459.00 AED","https://www.akm-music.com/shop.html?product=40796","https://www.akm-music.com/assets/products/40796.webp","Ibanez","4549763364807","Gig and Soft Bags","25"
"40807","Ibanez IGB724-BK Powerpad® Ultra Gig Bag Electric Guitar Black","Ibanez IGB724-BK Powerpad® Ultra Gig Bag Electric Guitar Black by Ibanez. Gig and Soft Bags. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","359.00 AED","https://www.akm-music.com/shop.html?product=40807","https://www.akm-music.com/assets/products/40807.webp","Ibanez","4549763230003","Gig and Soft Bags","0"
"40234","Ibanez IGC10 Capo for Electric Acoustic Guitar","Ibanez IGC10 Capo for Electric Acoustic Guitar by Ibanez. Capos. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","out of stock","new","89.00 AED","https://www.akm-music.com/shop.html?product=40234","https://www.akm-music.com/assets/products/40234.webp","Ibanez","4515276640424","Capos","0"
"40271","Ibanez IGC10W Guitar Capo","Ibanez IGC10W Guitar Capo by Ibanez. Capos. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","99.00 AED","https://www.akm-music.com/shop.html?product=40271","https://www.akm-music.com/assets/products/40271.webp","Ibanez","4549763230058","Capos","25"
"40289","Ibanez Iron Label T-shirt Nera Taglia L","Ibanez Iron Label T-shirt Nera Taglia L by Ibanez. Clothing and Merch. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","83.90 AED","https://www.akm-music.com/shop.html?product=40289","https://www.akm-music.com/assets/products/40289.webp","Ibanez","4549763331052","Clothing and Merch","25"
"46930","Ibanez ISB4-BK Guitar Strap Blocks","Ibanez ISB4-BK Guitar Strap Blocks by Ibanez. Guitar Straps and Locks. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","25.00 AED","https://www.akm-music.com/shop.html?product=46930","https://www.akm-music.com/assets/products/46930.webp","Ibanez","4549763330949","Guitar Straps and Locks","25"
"40294","Ibanez Japan Edge/Lo-Pro Edge/Edge-Pro ""e-spring"" ESPR2003 for Power Tremolo","Ibanez Japan Edge/Lo-Pro Edge/Edge-Pro ""e-spring"" ESPR2003 for Power Tremolo by Ibanez. Other Guitar Accessories And Parts. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","89.00 AED","https://www.akm-music.com/shop.html?product=40294","https://www.akm-music.com/assets/products/40294.webp","Ibanez","4515276880035","Other Guitar Accessories And Parts","25"
"22815","Ibanez JEM77P-BFP Electric Guitar","Ibanez JEM77P-BFP Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","6899.00 AED","https://www.akm-music.com/shop.html?product=22815","https://www.akm-music.com/assets/products/22815.webp","Ibanez","4515276694946","Electric Guitar","25"
"22816","Ibanez JEM7VP-WH Electric Guitar W/bag","Ibanez JEM7VP-WH Electric Guitar W/bag by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","8299.00 AED","https://www.akm-music.com/shop.html?product=22816","https://www.akm-music.com/assets/products/22816.webp","Ibanez","4549763184313","Electric Guitar","25"
"22817","Ibanez Jemjr-bk Electric Guitar","Ibanez Jemjr-bk Electric Guitar by Ibanez. Electric Guitar. Available at AKM Music Abu Dhabi — delivery across the UAE, WhatsApp ordering, showroom support since 1984.","in stock","new","2199.00 AED","https://www.akm-music.com/shop.html?product=22817","https://www.akm-music.com/assets/products/22817.webp","Ibanez","4549763308948","Electric Guitar","25"
